312059	15634	1362
316030	15684	1310
312223	15498	1361
313705	15885	1328
314947	15884	1359
314746	15750	1362
310144	15703	1259
303763	15213	1284
308357	15612	1276
314532	15554	1284
310162	15468	1243
314335	15528	1252
320721	15786	1257
315609	15716	1330
314490	15597	1258
312809	15598	1218
318654	15660	1224
321273	15885	1358
311961	15541	1326
312338	15547	1293
318317	15776	1372
313376	15344	1261
320727	15795	1355
320727	15795	1355
314949	15565	1290
314835	15468	1265
317350	15633	1286
312612	15682	1322
324453	15760	1327
317252	15907	1341
